areaType,areaName,areaCode,date,hospitalCases
nation,Northern Ireland,N92000002,2020-08-11,28
nation,Northern Ireland,N92000002,2020-08-10,27
nation,Northern Ireland,N92000002,2020-08-09,28
nation,Northern Ireland,N92000002,2020-08-08,27
nation,Northern Ireland,N92000002,2020-08-07,24
nation,Northern Ireland,N92000002,2020-08-06,25
nation,Northern Ireland,N92000002,2020-08-05,22
nation,Northern Ireland,N92000002,2020-08-04,23
nation,Northern Ireland,N92000002,2020-08-03,24
nation,Northern Ireland,N92000002,2020-08-02,25
nation,Northern Ireland,N92000002,2020-08-01,26
nation,Northern Ireland,N92000002,2020-07-31,24
nation,Northern Ireland,N92000002,2020-07-30,23
nation,Northern Ireland,N92000002,2020-07-29,25
nation,Northern Ireland,N92000002,2020-07-28,24
nation,Northern Ireland,N92000002,2020-07-27,24
nation,Northern Ireland,N92000002,2020-07-26,23
nation,Northern Ireland,N92000002,2020-07-25,24
nation,Northern Ireland,N92000002,2020-07-24,25
nation,Northern Ireland,N92000002,2020-07-23,24
nation,Northern Ireland,N92000002,2020-07-22,24
nation,Northern Ireland,N92000002,2020-07-21,25
nation,Northern Ireland,N92000002,2020-07-20,27
nation,Northern Ireland,N92000002,2020-07-19,26
nation,Northern Ireland,N92000002,2020-07-18,25
nation,Northern Ireland,N92000002,2020-07-17,23
nation,Northern Ireland,N92000002,2020-07-16,25
nation,Northern Ireland,N92000002,2020-07-15,25
nation,Northern Ireland,N92000002,2020-07-14,24
nation,Northern Ireland,N92000002,2020-07-13,25
nation,Northern Ireland,N92000002,2020-07-12,26
nation,Northern Ireland,N92000002,2020-07-11,28
nation,Northern Ireland,N92000002,2020-07-10,27
nation,Northern Ireland,N92000002,2020-07-09,29
nation,Northern Ireland,N92000002,2020-07-08,31
nation,Northern Ireland,N92000002,2020-07-07,31
nation,Northern Ireland,N92000002,2020-07-06,30
nation,Northern Ireland,N92000002,2020-07-05,30
nation,Northern Ireland,N92000002,2020-07-04,30
nation,Northern Ireland,N92000002,2020-07-03,28
nation,Northern Ireland,N92000002,2020-07-02,31
nation,Northern Ireland,N92000002,2020-07-01,32
nation,Northern Ireland,N92000002,2020-06-30,34
nation,Northern Ireland,N92000002,2020-06-29,36
nation,Northern Ireland,N92000002,2020-06-28,40
nation,Northern Ireland,N92000002,2020-06-27,37
nation,Northern Ireland,N92000002,2020-06-26,40
nation,Northern Ireland,N92000002,2020-06-25,47
nation,Northern Ireland,N92000002,2020-06-24,48
nation,Northern Ireland,N92000002,2020-06-23,53
nation,Northern Ireland,N92000002,2020-06-22,52
nation,Northern Ireland,N92000002,2020-06-21,51
nation,Northern Ireland,N92000002,2020-06-20,47
nation,Northern Ireland,N92000002,2020-06-19,45
nation,Northern Ireland,N92000002,2020-06-18,50
nation,Northern Ireland,N92000002,2020-06-17,53
