Date,Number of Bicycle Hires
20/07/2013,28332
21/07/2013,30075
22/07/2013,33176
23/07/2013,31624
24/07/2013,34038
25/07/2013,33683
26/07/2013,34681
27/07/2013,25761
28/07/2013,28177
29/07/2013,30415
30/07/2013,22742
31/07/2013,28976
01/08/2013,34770
02/08/2013,29109
03/08/2013,34928
04/08/2013,32580
05/08/2013,23864
06/08/2013,33631
07/08/2013,33084
08/08/2013,33737
09/08/2013,28206
10/08/2013,28830
11/08/2013,29530
12/08/2013,30425
13/08/2013,30933
14/08/2013,31412
15/08/2013,30865
16/08/2013,25555
17/08/2013,23931
18/08/2013,26910
19/08/2013,31183
20/08/2013,33578
21/08/2013,33214
22/08/2013,22363
23/08/2013,30665
24/08/2013,7341
25/08/2013,21638
26/08/2013,27802
27/08/2013,29563
28/08/2013,32024
29/08/2013,31639
30/08/2013,31127
31/08/2013,29718
01/09/2013,23856
02/09/2013,31292
03/09/2013,31600
04/09/2013,33406
05/09/2013,33574
06/09/2013,20930
07/09/2013,21279
08/09/2013,18046
09/09/2013,17943
10/09/2013,24558
11/09/2013,23386
12/09/2013,24246
13/09/2013,15392
14/09/2013,12977
15/09/2013,4826
16/09/2013,21892
17/09/2013,18428
18/09/2013,25319
19/09/2013,18746
20/09/2013,26196
21/09/2013,21988
22/09/2013,22683
23/09/2013,26625
24/09/2013,28666
25/09/2013,28183
26/09/2013,28857
27/09/2013,27371
28/09/2013,21716
29/09/2013,20654
30/09/2013,27089
01/10/2013,27711
02/10/2013,26467
03/10/2013,25153
04/10/2013,26522
05/10/2013,22996
06/10/2013,25143
07/10/2013,26680
08/10/2013,27598
09/10/2013,26433
10/10/2013,23497
11/10/2013,15640
12/10/2013,17068
13/10/2013,7068
14/10/2013,18979
15/10/2013,24657
16/10/2013,20562
17/10/2013,25170
18/10/2013,24880
19/10/2013,17430
20/10/2013,11396
21/10/2013,21385
22/10/2013,22316
23/10/2013,24178
24/10/2013,26399
25/10/2013,23677
26/10/2013,16986
27/10/2013,15652
28/10/2013,14577
29/10/2013,23126
30/10/2013,24753
31/10/2013,20055
01/11/2013,20597
02/11/2013,15347
03/11/2013,13063
04/11/2013,20369
05/11/2013,19326
06/11/2013,18431
07/11/2013,22527
08/11/2013,15188
09/11/2013,6772
10/11/2013,9767
11/11/2013,14377
12/11/2013,19572
13/11/2013,22021
14/11/2013,21061
15/11/2013,20850
16/11/2013,15029
17/11/2013,12340
18/11/2013,18491
19/11/2013,20335
20/11/2013,14115
21/11/2013,18668
22/11/2013,18789
23/11/2013,13276
24/11/2013,10505
25/11/2013,19201
26/11/2013,20486
27/11/2013,20274
28/11/2013,20649
29/11/2013,19397
30/11/2013,13323
01/12/2013,11711
02/12/2013,19630
03/12/2013,20242
04/12/2013,20035
05/12/2013,18326
06/12/2013,18494
07/12/2013,13625
08/12/2013,13076
09/12/2013,19969
10/12/2013,20432
11/12/2013,19123
12/12/2013,19420
13/12/2013,16921
14/12/2013,14049
15/12/2013,8557
16/12/2013,13825
17/12/2013,15689
18/12/2013,17311
19/12/2013,17738
20/12/2013,18046
21/12/2013,5774
22/12/2013,9233
23/12/2013,6246
24/12/2013,6201
25/12/2013,27715
26/12/2013,7666
27/12/2013,7258
28/12/2013,10533
29/12/2013,10983
30/12/2013,8413
31/12/2013,7701
01/01/2014,4327
02/01/2014,15820
03/01/2014,11636
04/01/2014,6918
05/01/2014,9145
06/01/2014,13066
07/01/2014,17420
08/01/2014,19770
09/01/2014,19143
10/01/2014,18840
11/01/2014,15723
12/01/2014,11975
13/01/2014,17721
14/01/2014,20740
15/01/2014,19243
16/01/2014,18861
17/01/2014,17434
18/01/2014,15333
19/01/2014,16083
20/01/2014,21218
21/01/2014,21756
22/01/2014,21072
23/01/2014,20020
24/01/2014,19272
25/01/2014,14581
26/01/2014,7033
27/01/2014,18285
28/01/2014,19939
29/01/2014,10585
30/01/2014,17052
31/01/2014,13859
01/02/2014,13981
02/02/2014,15924
